species	canonical_region_id	anchor_id	reference_start	reference_end	dominant_query_chrom	dominant_query_start	dominant_query_end	orientation	coverage_fraction	n_raw_blocks	ambiguous	missing
Turaco	CR_03	CR_03_A001	34595896	34695896	pri.chr5	3486304	3681270	+	0.91666	2	false	false
Cuckoo	CR_03	CR_03_A001	34595896	34695896	pri.CM030640.1	77261473	77437868	-	0.33866	4	false	false
Stork	CR_03	CR_03_A002	34695896	34795896	pri.CM030196.1	82237659	82495380	+	0.7936	2	false	false
Flamingo	CR_03	CR_03_A002	34695896	34795896	pri.chr4	61098235	61365871	+	0.77013	2	true	false
Dove	CR_03	CR_03_A002	34695896	34795896	1.LR594554.2	75735	1300644	-	0.33568	2	false	false
Sandgrouse	CR_03	CR_03_A002	34695896	34795896	pri.chr15	20694531	21898099	+	0.86862	2	false	false
Turaco	CR_03	CR_03_A002	34695896	34795896	pri.chr5	1558947	3681270	+	0.76428	2	false	false
Cuckoo	CR_03	CR_03_A002	34695896	34795896	pri.CM030640.1	77322695	77526062	+	0.79355	2	true	false
Stork	CR_03	CR_03_A003	34795896	34895896	pri.CM030196.1	82372603	82495380	+	0.75263	1	false	false
Flamingo	CR_03	CR_03_A003	34795896	34895896	pri.chr4	61242314	61365871	+	0.75263	1	false	false
Dove	CR_03	CR_03_A003	34795896	34895896					0.08216	2	false	true
Sandgrouse	CR_03	CR_03_A003	34795896	34895896	pri.chr15	21794283	21898099	+	0.60303	2	false	false
Turaco	CR_03	CR_03_A003	34795896	34895896	pri.chr5	1558947	1840993	+	1	1	false	false
Cuckoo	CR_03	CR_03_A003	34795896	34895896	pri.CM030640.1	77452314	77569378	+	0.53211	3	false	false
Stork	CR_03	CR_03_A004	34895896	34995896					0.15583	3	false	true
Flamingo	CR_03	CR_03_A004	34895896	34995896	pri.chr4	61398840	61490887	+	0.20338	3	false	false
Dove	CR_03	CR_03_A004	34895896	34995896	1.LR594554.2	819789	873759	-	0.2432	1	false	false
Sandgrouse	CR_03	CR_03_A004	34895896	34995896	pri.chr15	21647375	21771592	+	0.3029	2	false	false
Turaco	CR_03	CR_03_A004	34895896	34995896	pri.chr5	1558947	1840993	+	1	1	false	false
Cuckoo	CR_03	CR_03_A004	34895896	34995896	pri.CM030640.1	77587661	77667649	+	0.22766	3	false	false
Stork	CR_03	CR_03_A005	34995896	35025265	pri.CM030196.1	82637145	82681103	+	0.997888930505	1	false	false
Flamingo	CR_03	CR_03_A005	34995896	35025265	pri.chr4	61523543	61555004	+	0.815485716231	1	false	false
Dove	CR_03	CR_03_A005	34995896	35025265	1.LR594554.2	819789	873759	-	1	1	false	false
Sandgrouse	CR_03	CR_03_A005	34995896	35025265	pri.chr15	21647375	21703806	+	1	1	false	false
Turaco	CR_03	CR_03_A005	34995896	35025265	pri.chr5	1558947	1840993	+	0.988355068269	1	false	false
Cuckoo	CR_03	CR_03_A005	34995896	35025265	pri.CM030640.1	77688667	77725002	+	0.956008035684	1	false	false
Stork	CR_04	CR_04_A001	44701591	44801591					0.12185	1	false	true
Flamingo	CR_04	CR_04_A001	44701591	44801591					0.05128	1	false	true
Dove	CR_04	CR_04_A001	44701591	44801591	1.LR594554.2	27974092	28066184	-	0.30649	2	false	false
Sandgrouse	CR_04	CR_04_A001	44701591	44801591					0.17313	2	false	true
Turaco	CR_04	CR_04_A001	44701591	44801591					0.12781	2	false	true
Cuckoo	CR_04	CR_04_A001	44701591	44801591					0.18469	1	false	true
Stork	CR_04	CR_04_A002	44801591	44901591					0.18655	3	false	true
Flamingo	CR_04	CR_04_A002	44801591	44901591					0.18655	3	false	true
Dove	CR_04	CR_04_A002	44801591	44901591	1.LR594554.2	27692611	27717057	-	0.22919	2	false	false
Sandgrouse	CR_04	CR_04_A002	44801591	44901591					0.15265	2	false	true
Turaco	CR_04	CR_04_A002	44801591	44901591					0.19127	2	false	true
Cuckoo	CR_04	CR_04_A002	44801591	44901591					0.1328	2	false	true
Stork	CR_04	CR_04_A003	44901591	45001591	pri.CM030196.1	84666251	84746413	+	0.2982	5	false	false
Flamingo	CR_04	CR_04_A003	44901591	45001591	pri.chr4	63597583	63676346	+	0.21058	4	false	false
Dove	CR_04	CR_04_A003	44901591	45001591	1.LR594554.2	27618705	27662138	-	0.27129	4	false	false
Sandgrouse	CR_04	CR_04_A003	44901591	45001591	pri.chr15	22852137	22935700	+	0.35769	6	false	false
Turaco	CR_04	CR_04_A003	44901591	45001591	pri.chr5	554337	622937	+	0.21296	4	false	false
Cuckoo	CR_04	CR_04_A003	44901591	45001591	pri.CM030640.1	79329717	79399781	+	0.27498	5	false	false
Stork	CR_04	CR_04_A004	45001591	45101591					0	0	false	true
Flamingo	CR_04	CR_04_A004	45001591	45101591					0.05694	1	false	true
Dove	CR_04	CR_04_A004	45001591	45101591					0.05884	1	false	true
Sandgrouse	CR_04	CR_04_A004	45001591	45101591					0	0	false	true
Turaco	CR_04	CR_04_A004	45001591	45101591	pri.chr5	458050	512395	+	0.23055	3	false	false
Cuckoo	CR_04	CR_04_A004	45001591	45101591	pri.CM030640.1	79462946	79534874	+	0.4116	5	false	false
Stork	CR_04	CR_04_A005	45101591	45201591					0.18658	3	false	true
Flamingo	CR_04	CR_04_A005	45101591	45201591					0.19444	4	false	true
Dove	CR_04	CR_04_A005	45101591	45201591	1.LR594554.2	27311443	27432083	-	0.20145	3	false	false
Sandgrouse	CR_04	CR_04_A005	45101591	45201591	pri.chr15	23079014	23168626	+	0.27423	3	false	false
Turaco	CR_04	CR_04_A005	45101591	45201591	pri.chr5	237127	397204	+	0.32853	4	false	false
Cuckoo	CR_04	CR_04_A005	45101591	45201591	pri.CM030640.1	79528074	79622085	+	0.22029	4	false	false
Stork	CR_04	CR_04_A006	45201591	45301591	pri.CM030196.1	85043162	85149420	+	0.47412	8	false	false
Flamingo	CR_04	CR_04_A006	45201591	45301591	pri.chr4	63978683	64085298	+	0.46946	8	false	false
Dove	CR_04	CR_04_A006	45201591	45301591	1.LR594554.2	27201176	27319664	-	0.28934	5	false	false
Sandgrouse	CR_04	CR_04_A006	45201591	45301591	pri.chr15	23160966	23263963	+	0.41385	7	false	false
Turaco	CR_04	CR_04_A006	45201591	45301591	pri.chr5	237127	335012	+	0.86638	1	false	false
Cuckoo	CR_04	CR_04_A006	45201591	45301591	pri.CM030640.1	79614741	79702963	+	0.40775	6	false	false
Stork	CR_04	CR_04_A007	45301591	45401591					0	0	false	true
Flamingo	CR_04	CR_04_A007	45301591	45401591					0	0	false	true
Dove	CR_04	CR_04_A007	45301591	45401591					0	0	false	true
Sandgrouse	CR_04	CR_04_A007	45301591	45401591					0	0	false	true
Turaco	CR_04	CR_04_A007	45301591	45401591					0	0	false	true
Cuckoo	CR_04	CR_04_A007	45301591	45401591					0	0	false	true
Stork	CR_04	CR_04_A008	45401591	45501591	pri.CM030196.1	85430662	85500792	+	0.50757	1	false	false
Flamingo	CR_04	CR_04_A008	45401591	45501591					0	0	false	true
Dove	CR_04	CR_04_A008	45401591	45501591					0	0	false	true
Sandgrouse	CR_04	CR_04_A008	45401591	45501591					0.05549	1	false	true
Turaco	CR_04	CR_04_A008	45401591	45501591					0	0	false	true
Cuckoo	CR_04	CR_04_A008	45401591	45501591					0.16511	1	false	true
Stork	CR_04	CR_04_A009	45501591	45601591					0	0	false	true
Flamingo	CR_04	CR_04_A009	45501591	45601591					0	0	false	true
Dove	CR_04	CR_04_A009	45501591	45601591					0	0	false	true
Sandgrouse	CR_04	CR_04_A009	45501591	45601591					0	0	false	true
Turaco	CR_04	CR_04_A009	45501591	45601591					0.05356	1	false	true
Cuckoo	CR_04	CR_04_A009	45501591	45601591					0	0	false	true
Stork	CR_04	CR_04_A010	45601591	45701591	pri.CM030196.1	64485389	65757181	+	0.42503	2	false	false
Flamingo	CR_04	CR_04_A010	45601591	45701591	pri.chr4	64734805	65988410	-	0.46423	2	true	false
Dove	CR_04	CR_04_A010	45601591	45701591	1.LR594554.2	26609287	26641667	-	0.21249	1	false	false
Sandgrouse	CR_04	CR_04_A010	45601591	45701591	pri.chr15	1108205	23654925	+	0.43867	2	false	false
Turaco	CR_04	CR_04_A010	45601591	45701591					0.16902	1	false	true
Cuckoo	CR_04	CR_04_A010	45601591	45701591					0	0	false	true
Stork	CR_04	CR_04_A011	45701591	45801591					0.00514	1	false	true
Flamingo	CR_04	CR_04_A011	45701591	45801591					0.15186	2	false	true
Dove	CR_04	CR_04_A011	45701591	45801591					0	0	false	true
Sandgrouse	CR_04	CR_04_A011	45701591	45801591					0.00476	1	false	true
Turaco	CR_04	CR_04_A011	45701591	45801591					0	0	false	true
Cuckoo	CR_04	CR_04_A011	45701591	45801591					0	0	false	true
Stork	CR_04	CR_04_A012	45801591	45901591					0.16604	2	false	true
Flamingo	CR_04	CR_04_A012	45801591	45901591					0.12375	2	false	true
Dove	CR_04	CR_04_A012	45801591	45901591	1.LR594554.2	25673223	25725633	+	0.27097	3	false	false
Sandgrouse	CR_04	CR_04_A012	45801591	45901591	pri.chr15	902199	949053	+	0.35404	2	false	false
Turaco	CR_04	CR_04_A012	45801591	45901591	pri.chr5	19218331	19243749	+	0.21428	3	false	false
Cuckoo	CR_04	CR_04_A012	45801591	45901591	pri.CM030640.1	60742726	60811858	+	0.61016	1	false	false
Stork	CR_04	CR_04_A013	45901591	46001591	pri.CM030196.1	65245664	65369102	+	0.271	3	false	false
Flamingo	CR_04	CR_04_A013	45901591	46001591	pri.chr4	65484626	65606904	-	0.25952	4	false	false
Dove	CR_04	CR_04_A013	45901591	46001591	1.LR594554.2	25860672	25959687	+	0.21497	3	false	false
Sandgrouse	CR_04	CR_04_A013	45901591	46001591					0.16732	3	false	true
Turaco	CR_04	CR_04_A013	45901591	46001591	pri.chr5	19322950	19483215	+	0.35405	4	false	false
Cuckoo	CR_04	CR_04_A013	45901591	46001591	pri.CM030640.1	60874894	60961209	+	0.21093	3	false	false
Stork	CR_04	CR_04_A014	46001591	46101591					0.15912	2	false	true
Flamingo	CR_04	CR_04_A014	46001591	46101591					0.15904	2	false	true
Dove	CR_04	CR_04_A014	46001591	46101591	1.LR594554.2	26023757	26100832	+	0.22598	3	false	false
Sandgrouse	CR_04	CR_04_A014	46001591	46101591					0.09754	1	false	true
Turaco	CR_04	CR_04_A014	46001591	46101591	pri.chr5	19517802	19611377	+	0.22099	3	false	false
Cuckoo	CR_04	CR_04_A014	46001591	46101591					0.08816	1	false	true
Stork	CR_04	CR_04_A015	46101591	46201591					0.06467	1	false	true
Flamingo	CR_04	CR_04_A015	46101591	46201591					0.06467	1	false	true
Dove	CR_04	CR_04_A015	46101591	46201591					0.05666	1	false	true
Sandgrouse	CR_04	CR_04_A015	46101591	46201591					0	0	false	true
Turaco	CR_04	CR_04_A015	46101591	46201591					0.06467	1	false	true
Cuckoo	CR_04	CR_04_A015	46101591	46201591					0.06126	1	false	true
Stork	CR_04	CR_04_A016	46201591	46301591					0.17829	3	false	true
Flamingo	CR_04	CR_04_A016	46201591	46301591	pri.chr4	64981938	65040369	-	0.23961	4	false	false
Dove	CR_04	CR_04_A016	46201591	46301591					0.08094	2	false	true
Sandgrouse	CR_04	CR_04_A016	46201591	46301591	pri.chr15	2618	389357	+	0.44812	2	false	false
Turaco	CR_04	CR_04_A016	46201591	46301591					0.10593	2	false	true
Cuckoo	CR_04	CR_04_A016	46201591	46301591					0.14886	2	false	true
Stork	CR_04	CR_04_A017	46301591	46401591	pri.CM030196.1	64698475	64767365	+	0.21061	3	false	false
Flamingo	CR_04	CR_04_A017	46301591	46401591	pri.chr4	64921619	64991501	-	0.20256	3	false	false
Dove	CR_04	CR_04_A017	46301591	46401591					0.18273	3	false	true
Sandgrouse	CR_04	CR_04_A017	46301591	46401591	pri.chr15	2618	100271	+	0.31702	2	false	false
Turaco	CR_04	CR_04_A017	46301591	46401591					0.18626	3	false	true
Cuckoo	CR_04	CR_04_A017	46301591	46401591					0.12421	2	false	true
Stork	CR_04	CR_04_A018	46401591	46501591	pri.CM030196.1	64562832	66038709	+	0.72914	3	false	false
Flamingo	CR_04	CR_04_A018	46401591	46501591	pri.chr4	64805645	66242623	+	0.44612	5	false	false
Dove	CR_04	CR_04_A018	46401591	46501591	1.LR594554.2	25191269	26608696	-	0.37299	4	false	false
Sandgrouse	CR_04	CR_04_A018	46401591	46501591	pri.chr15	199981	1361703	+	0.47556	5	false	false
Turaco	CR_04	CR_04_A018	46401591	46501591	pri.chr5	18686141	20138022	+	0.42741	5	false	false
Cuckoo	CR_04	CR_04_A018	46401591	46501591	pri.CM030640.1	61550223	62151742	+	0.41161	5	false	false
Stork	CR_04	CR_04_A019	46501591	46601591	pri.CM030196.1	65983799	66150434	+	0.8338	3	false	false
Flamingo	CR_04	CR_04_A019	46501591	46601591	pri.chr4	66287236	66366534	+	0.28768	4	false	false
Dove	CR_04	CR_04_A019	46501591	46601591					0.17177	3	false	true
Sandgrouse	CR_04	CR_04_A019	46501591	46601591	pri.chr15	1400976	1484400	+	0.27597	4	false	false
Turaco	CR_04	CR_04_A019	46501591	46601591	pri.chr5	18563519	18618495	+	0.21127	3	false	false
Cuckoo	CR_04	CR_04_A019	46501591	46601591	pri.CM030640.1	62227558	62278053	+	0.20684	3	false	false
Stork	CR_04	CR_04_A020	46601591	46701591	pri.CM030196.1	66221884	66283359	+	0.54061	2	false	false
Flamingo	CR_04	CR_04_A020	46601591	46701591	pri.chr4	66412066	66499651	+	0.61983	3	false	false
Dove	CR_04	CR_04_A020	46601591	46701591	1.LR594554.2	24945226	25023931	-	0.37036	3	false	false
Sandgrouse	CR_04	CR_04_A020	46601591	46701591	pri.chr15	1524750	1612874	+	0.60332	3	false	false
Turaco	CR_04	CR_04_A020	46601591	46701591	pri.chr5	18472379	18520969	+	0.27331	2	false	false
Cuckoo	CR_04	CR_04_A020	46601591	46701591	pri.CM030640.1	62366783	62414560	+	0.42942	2	false	false
Stork	CR_04	CR_04_A021	46701591	46801591	pri.CM030196.1	66302732	66365917	+	0.22247	2	false	false
Flamingo	CR_04	CR_04_A021	46701591	46801591	pri.chr4	66520675	66585337	+	0.22194	2	false	false
Dove	CR_04	CR_04_A021	46701591	46801591					0.16048	2	false	true
Sandgrouse	CR_04	CR_04_A021	46701591	46801591					0.18831	2	false	true
Turaco	CR_04	CR_04_A021	46701591	46801591					0.19609	2	false	true
Cuckoo	CR_04	CR_04_A021	46701591	46801591	pri.CM030640.1	62431987	62494907	+	0.2225	2	false	false
Stork	CR_04	CR_04_A022	46801591	46901591					0.17901	4	false	true
Flamingo	CR_04	CR_04_A022	46801591	46901591	pri.chr4	66667146	66802684	+	0.24792	5	false	false
Dove	CR_04	CR_04_A022	46801591	46901591	1.LR594554.2	24629746	24759557	-	0.30044	6	false	false
Sandgrouse	CR_04	CR_04_A022	46801591	46901591	pri.chr15	1766136	1886364	+	0.26598	5	false	false
Turaco	CR_04	CR_04_A022	46801591	46901591					0.18008	4	false	true
Cuckoo	CR_04	CR_04_A022	46801591	46901591					0.12297	2	false	true
Stork	CR_04	CR_04_A023	46901591	47001591	pri.CM030196.1	66586738	66711968	+	0.43008	5	false	false
Flamingo	CR_04	CR_04_A023	46901591	47001591	pri.chr4	66796167	66921512	+	0.40192	5	false	false
Dove	CR_04	CR_04_A023	46901591	47001591	1.LR594554.2	24520371	24636777	-	0.41791	5	false	false
Sandgrouse	CR_04	CR_04_A023	46901591	47001591	pri.chr15	1879425	1988882	+	0.36107	5	false	false
Turaco	CR_04	CR_04_A023	46901591	47001591	pri.chr5	18009563	18132637	+	0.35989	3	false	false
Cuckoo	CR_04	CR_04_A023	46901591	47001591	pri.CM030640.1	62724870	62821398	+	0.79248	1	false	false
Stork	CR_04	CR_04_A024	47001591	47101591					0.08717	1	false	true
Flamingo	CR_04	CR_04_A024	47001591	47101591					0.19247	3	false	true
Dove	CR_04	CR_04_A024	47001591	47101591					0.14353	2	false	true
Sandgrouse	CR_04	CR_04_A024	47001591	47101591					0.17165	2	false	true
Turaco	CR_04	CR_04_A024	47001591	47101591					0.08166	1	false	true
Cuckoo	CR_04	CR_04_A024	47001591	47101591					0.07784	1	false	true
Stork	CR_04	CR_04_A025	47101591	47201591					0.13536	2	false	true
Flamingo	CR_04	CR_04_A025	47101591	47201591					0	0	false	true
Dove	CR_04	CR_04_A025	47101591	47201591					0	0	false	true
Sandgrouse	CR_04	CR_04_A025	47101591	47201591					0	0	false	true
Turaco	CR_04	CR_04_A025	47101591	47201591					0	0	false	true
Cuckoo	CR_04	CR_04_A025	47101591	47201591					0	0	false	true
Stork	CR_04	CR_04_A026	47201591	47301591					0.081	1	false	true
Flamingo	CR_04	CR_04_A026	47201591	47301591					0.081	1	false	true
Dove	CR_04	CR_04_A026	47201591	47301591	1.LR594554.2	28948223	29144493	+	0.51387	2	false	false
Sandgrouse	CR_04	CR_04_A026	47201591	47301591					0.19141	2	false	true
Turaco	CR_04	CR_04_A026	47201591	47301591					0	0	false	true
Cuckoo	CR_04	CR_04_A026	47201591	47301591					0.06806	1	false	true
Stork	CR_04	CR_04_A027	47301591	47401591	pri.CM030196.1	63591644	63737640	+	0.27216	2	false	false
Flamingo	CR_04	CR_04_A027	47301591	47401591	pri.chr4	57821476	57927445	+	0.32076	4	false	false
Dove	CR_04	CR_04_A027	47301591	47401591					0.1377	2	false	true
Sandgrouse	CR_04	CR_04_A027	47301591	47401591	pri.chr15	18439598	18472766	+	0.22243	3	false	false
Turaco	CR_04	CR_04_A027	47301591	47401591					0	0	false	true
Cuckoo	CR_04	CR_04_A027	47301591	47401591					0.07544	1	false	true
Stork	CR_04	CR_04_A028	47401591	47501591	pri.CM030196.1	63574065	63661525	+	0.48594	2	false	false
Flamingo	CR_04	CR_04_A028	47401591	47501591					0.16091	1	false	true
Dove	CR_04	CR_04_A028	47401591	47501591	1.LR594554.2	29271936	29542926	+	0.24329	3	false	false
Sandgrouse	CR_04	CR_04_A028	47401591	47501591	pri.chr15	18479339	18502817	+	0.23376	3	false	false
Turaco	CR_04	CR_04_A028	47401591	47501591					0.08719	1	false	true
Cuckoo	CR_04	CR_04_A028	47401591	47501591					0.12311	1	false	true
Stork	CR_04	CR_04_A029	47501591	47601591					0	0	false	true
Flamingo	CR_04	CR_04_A029	47501591	47601591					0.13279	2	false	true
Dove	CR_04	CR_04_A029	47501591	47601591					0	0	false	true
Sandgrouse	CR_04	CR_04_A029	47501591	47601591					0	0	false	true
Turaco	CR_04	CR_04_A029	47501591	47601591					0.06117	1	false	true
Cuckoo	CR_04	CR_04_A029	47501591	47601591	pri.CM030640.1	60341071	60384116	-	0.22916	2	false	false
Stork	CR_04	CR_04_A030	47601591	47701591	pri.CM030196.1	63261246	63361440	+	0.27177	4	false	false
Flamingo	CR_04	CR_04_A030	47601591	47701591					0.13719	2	false	true
Dove	CR_04	CR_04_A030	47601591	47701591	1.LR594554.2	29383399	29428871	-	0.23873	3	false	false
Sandgrouse	CR_04	CR_04_A030	47601591	47701591					0.13596	2	false	true
Turaco	CR_04	CR_04_A030	47601591	47701591					0.022	1	false	true
Cuckoo	CR_04	CR_04_A030	47601591	47701591					0.07057	1	false	true
Stork	CR_04	CR_04_A031	47701591	47801591	pri.CM030196.1	63171447	63267469	+	0.34288	4	false	false
Flamingo	CR_04	CR_04_A031	47701591	47801591	pri.chr4	58372911	58449208	+	0.39763	4	false	false
Dove	CR_04	CR_04_A031	47701591	47801591	1.LR594554.2	29326862	29622004	+	0.34901	2	false	false
Sandgrouse	CR_04	CR_04_A031	47701591	47801591	pri.chr15	18632820	18709654	+	0.58129	6	false	false
Turaco	CR_04	CR_04_A031	47701591	47801591					0.17255	2	false	true
Cuckoo	CR_04	CR_04_A031	47701591	47801591					0.12274	1	false	true
Stork	CR_04	CR_04_A032	47801591	47901591	pri.CM030196.1	63068115	63144529	+	0.32723	5	false	false
Flamingo	CR_04	CR_04_A032	47801591	47901591	pri.chr4	58481434	58540347	+	0.35474	5	false	false
Dove	CR_04	CR_04_A032	47801591	47901591	1.LR594554.2	29544914	29622004	+	0.55757	1	false	false
Sandgrouse	CR_04	CR_04_A032	47801591	47901591	pri.chr15	18702291	18764230	+	0.42364	7	false	false
Turaco	CR_04	CR_04_A032	47801591	47901591	pri.chr5	84909586	84980237	+	0.20409	3	false	false
Cuckoo	CR_04	CR_04_A032	47801591	47901591	pri.CM030640.1	60043380	60108733	-	0.20835	3	false	false
Stork	CR_04	CR_04_A033	47901591	48001591	pri.CM030196.1	62916277	63005318	+	0.72738	8	false	false
Flamingo	CR_04	CR_04_A033	47901591	48001591	pri.chr4	58607749	58693402	+	0.73507	8	false	false
Dove	CR_04	CR_04_A033	47901591	48001591	1.LR594554.2	29671166	29740470	+	0.60921	6	false	false
Sandgrouse	CR_04	CR_04_A033	47901591	48001591	pri.chr15	18811952	18901402	+	0.68125	8	false	false
Turaco	CR_04	CR_04_A033	47901591	48001591	pri.chr5	84747133	84832187	+	0.43942	7	false	false
Cuckoo	CR_04	CR_04_A033	47901591	48001591	pri.CM030640.1	59895458	59974576	-	0.55503	6	false	false
Stork	CR_04	CR_04_A034	48001591	48101591	pri.CM030196.1	62836684	62926730	+	0.32991	4	false	false
Flamingo	CR_04	CR_04_A034	48001591	48101591	pri.chr4	58699471	58788527	+	0.3473	5	false	false
Dove	CR_04	CR_04_A034	48001591	48101591	1.LR594554.2	29733575	29821985	+	0.61345	6	false	false
Sandgrouse	CR_04	CR_04_A034	48001591	48101591	pri.chr15	18891415	18999072	+	0.59347	8	false	false
Turaco	CR_04	CR_04_A034	48001591	48101591					0.12496	2	false	true
Cuckoo	CR_04	CR_04_A034	48001591	48101591	pri.CM030640.1	59783081	59869967	-	0.24328	4	false	false
Stork	CR_04	CR_04_A035	48101591	48201591	pri.CM030196.1	62693086	62799595	+	0.59019	4	false	false
Flamingo	CR_04	CR_04_A035	48101591	48201591	pri.chr4	58817328	58926005	+	0.71728	5	false	false
Dove	CR_04	CR_04_A035	48101591	48201591	1.LR594554.2	29833808	29907400	+	0.65575	5	false	false
Sandgrouse	CR_04	CR_04_A035	48101591	48201591	pri.chr15	18986843	19096158	+	0.87789	7	false	false
Turaco	CR_04	CR_04_A035	48101591	48201591					0.18428	4	false	true
Cuckoo	CR_04	CR_04_A035	48101591	48201591	pri.CM030640.1	59659625	59789047	-	0.62622	8	false	false
Stork	CR_04	CR_04_A036	48201591	48301591	pri.CM030196.1	62590933	62702448	+	0.75948	9	false	false
Flamingo	CR_04	CR_04_A036	48201591	48301591	pri.chr4	58918410	59023487	+	0.83269	10	false	false
Dove	CR_04	CR_04_A036	48201591	48301591	1.LR594554.2	29895981	29966854	+	0.50225	4	false	false
Sandgrouse	CR_04	CR_04_A036	48201591	48301591	pri.chr15	19086638	19185698	+	0.85023	8	false	false
Turaco	CR_04	CR_04_A036	48201591	48301591	pri.chr5	84399073	84506208	+	0.49199	5	false	false
Cuckoo	CR_04	CR_04_A036	48201591	48301591	pri.CM030640.1	59560836	59668066	-	0.67819	8	false	false
Stork	CR_04	CR_04_A037	48301591	48401591	pri.CM030196.1	62516837	62607345	+	0.48179	5	false	false
Flamingo	CR_04	CR_04_A037	48301591	48401591	pri.chr4	59007416	59100166	+	0.55929	5	false	false
Dove	CR_04	CR_04_A037	48301591	48401591	1.LR594554.2	29967175	30037449	+	0.62301	5	false	false
Sandgrouse	CR_04	CR_04_A037	48301591	48401591	pri.chr15	19170136	19411902	+	0.88908	3	false	false
Turaco	CR_04	CR_04_A037	48301591	48401591	pri.chr5	84236940	84393317	+	0.3434	3	false	false
Cuckoo	CR_04	CR_04_A037	48301591	48401591	pri.CM030640.1	59292947	59576814	-	0.74215	4	false	false
Stork	CR_04	CR_04_A038	48401591	48501591	pri.CM030196.1	62350837	62459624	+	0.2919	4	false	false
Flamingo	CR_04	CR_04_A038	48401591	48501591					0.10448	2	false	true
Dove	CR_04	CR_04_A038	48401591	48501591	1.LR594554.2	30043556	30173212	+	0.39621	5	false	false
Sandgrouse	CR_04	CR_04_A038	48401591	48501591	pri.chr15	19220433	19411902	+	1	1	false	false
Turaco	CR_04	CR_04_A038	48401591	48501591	pri.chr5	84168752	84232789	+	0.46428	1	false	false
Cuckoo	CR_04	CR_04_A038	48401591	48501591	pri.CM030640.1	59292947	59512663	-	1	1	false	false
Stork	CR_04	CR_04_A039	48501591	48601591	pri.CM030196.1	62261440	62359810	+	0.70622	8	false	false
Flamingo	CR_04	CR_04_A039	48501591	48601591	pri.chr4	59175668	59267864	+	0.51951	6	false	false
Dove	CR_04	CR_04_A039	48501591	48601591	1.LR594554.2	30156284	30229076	+	0.61762	4	false	false
Sandgrouse	CR_04	CR_04_A039	48501591	48601591	pri.chr15	19220433	19467748	+	0.94945	2	false	false
Turaco	CR_04	CR_04_A039	48501591	48601591					0.13383	1	false	true
Cuckoo	CR_04	CR_04_A039	48501591	48601591	pri.CM030640.1	59232327	59512663	-	0.64035	3	false	false
Stork	CR_04	CR_04_A040	48601591	48701591	pri.CM030196.1	62142937	62268106	+	0.54448	9	false	false
Flamingo	CR_04	CR_04_A040	48601591	48701591	pri.chr4	59295175	59449902	+	0.58734	9	false	false
Dove	CR_04	CR_04_A040	48601591	48701591	1.LR594554.2	30237906	30303430	+	0.37726	4	false	false
Sandgrouse	CR_04	CR_04_A040	48601591	48701591	pri.chr15	19476928	19563508	+	0.44229	5	false	false
Turaco	CR_04	CR_04_A040	48601591	48701591					0.14452	2	false	true
Cuckoo	CR_04	CR_04_A040	48601591	48701591	pri.CM030640.1	59108422	59201177	-	0.38904	6	false	false
Stork	CR_04	CR_04_A041	48701591	48801591	pri.CM030196.1	62047176	62158164	+	0.62019	7	false	false
Flamingo	CR_04	CR_04_A041	48701591	48801591	pri.chr4	59384757	59485039	+	0.73813	2	false	false
Dove	CR_04	CR_04_A041	48701591	48801591	1.LR594554.2	30293304	30375955	+	0.52298	6	false	false
Sandgrouse	CR_04	CR_04_A041	48701591	48801591	pri.chr15	19549305	19634356	+	0.55992	5	false	false
Turaco	CR_04	CR_04_A041	48701591	48801591	pri.chr5	83753307	83857611	+	0.27347	4	false	false
Cuckoo	CR_04	CR_04_A041	48701591	48801591	pri.CM030640.1	59023250	59122995	-	0.39391	5	false	false
Stork	CR_04	CR_04_A042	48801591	48901591	pri.CM030196.1	61933931	62022076	+	0.36292	4	false	false
Flamingo	CR_04	CR_04_A042	48801591	48901591	pri.chr4	59502809	59607425	+	0.83867	4	false	false
Dove	CR_04	CR_04_A042	48801591	48901591	1.LR594554.2	30381605	30455116	+	0.34012	4	false	false
Sandgrouse	CR_04	CR_04_A042	48801591	48901591	pri.chr15	19649401	19732823	+	0.55739	5	false	false
Turaco	CR_04	CR_04_A042	48801591	48901591	pri.chr5	83660175	83730417	+	0.33284	4	false	false
Cuckoo	CR_04	CR_04_A042	48801591	48901591	pri.CM030640.1	58893539	59005303	-	0.41979	5	false	false
Stork	CR_04	CR_04_A043	48901591	49001591	pri.CM030196.1	61798986	61914694	+	0.31044	4	false	false
Flamingo	CR_04	CR_04_A043	48901591	49001591	pri.chr4	59598253	59723152	+	0.35158	5	false	false
Dove	CR_04	CR_04_A043	48901591	49001591	1.LR594554.2	30440656	30488256	+	0.23551	3	false	false
Sandgrouse	CR_04	CR_04_A043	48901591	49001591	pri.chr15	19722201	19825019	+	0.42416	6	false	false
Turaco	CR_04	CR_04_A043	48901591	49001591	pri.chr5	83419036	83599439	+	0.51301	3	false	false
Cuckoo	CR_04	CR_04_A043	48901591	49001591	pri.CM030640.1	58781957	58902897	-	0.42353	6	false	false
Stork	CR_04	CR_04_A044	49001591	49101591	pri.CM030196.1	61697616	61808975	+	0.29742	5	false	false
Flamingo	CR_04	CR_04_A044	49001591	49101591	pri.chr4	59710509	59820104	+	0.26351	4	false	false
