structural_set	flank_window_bp	species	breakpoint_id	breakpoint_position	left_query_chrom	right_query_chrom	left_query_end_or_boundary	right_query_start_or_boundary	left_relative_orientation	right_relative_orientation	same_query_chromosome	query_order_relationship	query_gap_or_jump	query_gap_class	chromosome_switch	orientation_switch	order_reversal	left_run_length	right_run_length	distance_left_run_to_breakpoint	distance_right_run_to_breakpoint	junction_signature	confidence
primary;stringent;inclusive	250000	Flamingo	DSB_031	49624080	chr4	chr4	50814713	61559951	-	+	true	forward	10745238	very_distant	false	true	false	453062	1354604	5402	3408	same_chr:-:+:forward:very_distant	high
primary;stringent;inclusive	250000	Dove	DSB_031	49624080	LR594554.2	LR594554.2	32453776	31830000	+	+	true	reverse	623776	distant	false	false	true	460721	460721	0	0	same_chr:+:+:reverse:distant	high
primary;stringent;inclusive	250000	Sandgrouse	DSB_031	49624080	chr5	chr15	47167576	21637947	-	-	false	chromosome_switch		unknown_gap	true	false	false	51501	725613	4424	6416	different_chr:-:-:chromosome_switch:unknown_gap	high
primary;stringent;inclusive	250000	Turaco	DSB_031	49624080	chr5	chr5	71784262	1846118	-	+	true	reverse	69938144	very_distant	false	true	true	453062	750316	5402	3408	same_chr:-:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Cuckoo	DSB_031	49624080	CM030640.1	CM030640.1	47737545	77759663	-	+	true	forward	30022118	very_distant	false	true	false	452614	1331529	5439	26273	same_chr:-:+:forward:very_distant	high
primary;stringent;inclusive	250000	Stork	DSB_031	49624080	CM030196.1	CM030196.1	50603936	82686082	-	+	true	forward	32082146	very_distant	false	true	false	453062	1354609	5402	3408	same_chr:-:+:forward:very_distant	high
primary;stringent;inclusive	250000	Chicken	DSB_031	49624080	GalGal6_chr4	GalGal6_chr4	49624080	49624081	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;inclusive	250000	Flamingo	DSB_033	50410378	chr4	chr4	63200018	61559951	+	+	true	reverse	1640067	very_distant	false	false	true	1354604	1354604	0	0	same_chr:+:+:reverse:very_distant	high
primary;inclusive	250000	Dove	DSB_033	50410378	LR594554.2	LR594554.2	1174209	1197907	+	-	true	forward	23698	near	false	true	false	316069	16989	4059	4058	same_chr:+:-:forward:near	limited_short_flank_run
primary;inclusive	250000	Sandgrouse	DSB_033	50410378	chr15	chr15	20916412	20824141	-	+	true	reverse	92271	near	false	true	true	725613	11866	54270	8824	same_chr:-:+:reverse:near	limited_short_flank_run
primary;inclusive	250000	Turaco	DSB_033	50410378	chr5	chr5	2671879	2736458	+	-	true	forward	64579	near	false	true	false	750316	5623	32575	34846	same_chr:+:-:forward:near	limited_short_flank_run
primary;inclusive	250000	Cuckoo	DSB_033	50410378	CM030640.1	CM030640.1	79009850	77759663	+	+	true	reverse	1250187	very_distant	false	false	true	1331529	1331529	0	0	same_chr:+:+:reverse:very_distant	high
primary;inclusive	250000	Stork	DSB_033	50410378	CM030196.1	CM030196.1	84280884	82686082	+	+	true	reverse	1594802	very_distant	false	false	true	1354609	1354609	0	0	same_chr:+:+:reverse:very_distant	high
primary;inclusive	250000	Chicken	DSB_033	50410378	GalGal6_chr4	GalGal6_chr4	50410378	50410379	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;stringent;inclusive	250000	Flamingo	DSB_034	50989362	chr4	chr4	63200018	59918331	+	+	true	reverse	3281687	very_distant	false	false	true	1354604	780844	7271	7269	same_chr:+:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Dove	DSB_034	50989362	LR594554.2	LR594554.2	28151543	30786725	-	+	true	forward	2635182	very_distant	false	true	false	452770	471284	64036	76481	same_chr:-:+:forward:very_distant	high
primary;stringent;inclusive	250000	Sandgrouse	DSB_034	50989362	chr15	chr15	22564427	22178630	+	+	true	reverse	385797	distant	false	false	true	461836	461836	0	0	same_chr:+:+:reverse:distant	high
primary;stringent;inclusive	250000	Turaco	DSB_034	50989362	chr5	chr5	1079646	83270726	-	-	true	forward	82191080	very_distant	false	false	false	167436	772905	89711	7269	same_chr:-:-:forward:very_distant	high
primary;stringent;inclusive	250000	Cuckoo	DSB_034	50989362	CM030640.1	CM030640.1	79009850	58584402	+	-	true	reverse	20425448	very_distant	false	true	true	1331529	789313	7481	7269	same_chr:+:-:reverse:very_distant	high
primary;stringent;inclusive	250000	Stork	DSB_034	50989362	CM030196.1	CM030196.1	84280884	61591881	+	-	true	reverse	22689003	very_distant	false	true	true	1354609	783239	7266	7269	same_chr:+:-:reverse:very_distant	high
primary;stringent;inclusive	250000	Chicken	DSB_034	50989362	GalGal6_chr4	GalGal6_chr4	50989362	50989363	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;inclusive	250000	Flamingo	DSB_036	51789124	chr4	chr4	60758136	76015730	+	+	true	forward	15257594	very_distant	false	false	false	780844	6353230	11650	8747	same_chr:+:+:forward:very_distant	high
primary;inclusive	250000	Dove	DSB_036	51789124	LR594554.2	LR594554.2	28749088	15325407	-	-	true	reverse	13423681	very_distant	false	false	true	176547	3689130	8260	8747	same_chr:-:-:reverse:very_distant	high
primary;inclusive	250000	Sandgrouse	DSB_036	51789124	chr15	chr15	20652298	10147575	+	+	true	reverse	10504723	very_distant	false	false	true	729957	3552478	9531	9532	same_chr:+:+:reverse:very_distant	high
primary;inclusive	250000	Turaco	DSB_036	51789124	chr5	chr5	82403249	9081346	-	-	true	reverse	73321903	very_distant	false	false	true	772905	3595673	19589	8747	same_chr:-:-:reverse:very_distant	high
primary;inclusive	250000	Cuckoo	DSB_036	51789124	CM030640.1	CM030640.1	57737600	71592633	-	+	true	forward	13855033	very_distant	false	true	false	789313	5400828	3181	8866	same_chr:-:+:forward:very_distant	high
primary;inclusive	250000	Stork	DSB_036	51789124	CM030196.1	CM030196.1	60750296	75964555	-	+	true	forward	15214259	very_distant	false	true	false	783239	5404642	9255	8747	same_chr:-:+:forward:very_distant	high
primary;inclusive	250000	Chicken	DSB_036	51789124	GalGal6_chr4	GalGal6_chr4	51789124	51789125	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;inclusive	250000	Flamingo	DSB_040	57203613	chr4	chr4	83187584	76015730	+	+	true	reverse	7171854	very_distant	false	false	true	6353230	6353230	0	0	same_chr:+:+:reverse:very_distant	high
primary;inclusive	250000	Dove	DSB_040	57203613	LR594554.2	LR594554.2	8043415	10929566	-	-	true	forward	2886151	very_distant	false	false	false	2488206	2488206	0	0	same_chr:-:-:forward:very_distant	high
primary;inclusive	250000	Sandgrouse	DSB_040	57203613	chr15	chr15	16400017	13834005	+	+	true	reverse	2566012	very_distant	false	false	true	2689560	2689560	0	0	same_chr:+:+:reverse:very_distant	high
primary;inclusive	250000	Turaco	DSB_040	57203613	chr5	chr5	3470806	77352680	+	+	true	forward	73881874	very_distant	false	false	false	261036	945916	870	2048	same_chr:+:+:forward:very_distant	high
primary;inclusive	250000	Cuckoo	DSB_040	57203613	CM030640.1	CM030640.1	77246172	57392812	+	-	true	reverse	19853360	very_distant	false	true	true	5400828	926937	4796	3850	same_chr:+:-:reverse:very_distant	high
primary;inclusive	250000	Stork	DSB_040	57203613	CM030196.1	CM030196.1	82147283	60523857	+	-	true	reverse	21623426	very_distant	false	true	true	5404642	929073	1101	2048	same_chr:+:-:reverse:very_distant	high
primary;inclusive	250000	Chicken	DSB_040	57203613	GalGal6_chr4	GalGal6_chr4	57203613	57203614	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;stringent;inclusive	250000	Flamingo	DSB_041	58171516	chr4	chr4	83187584	53984869	+	+	true	reverse	29202715	very_distant	false	false	true	6353230	2842334	20416	20415	same_chr:+:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Dove	DSB_041	58171516	LR594554.2	LR594554.2	8043415	4476059	-	-	true	reverse	3567356	very_distant	false	false	true	2488206	1737875	37217	43720	same_chr:-:-:reverse:very_distant	high
primary;stringent;inclusive	250000	Sandgrouse	DSB_041	58171516	chr15	chr15	16400017	13834005	+	+	true	reverse	2566012	very_distant	false	false	true	2689560	2689560	0	0	same_chr:+:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Turaco	DSB_041	58171516	chr5	chr5	78464028	75031206	+	+	true	reverse	3432822	very_distant	false	false	true	945916	1760437	19940	20415	same_chr:+:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Cuckoo	DSB_041	58171516	CM030640.1	CM030640.1	56357955	50795006	-	+	true	reverse	5562949	very_distant	false	true	true	926937	2823815	37117	20415	same_chr:-:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Stork	DSB_041	58171516	CM030196.1	CM030196.1	59461667	53765784	-	+	true	reverse	5695883	very_distant	false	true	true	929073	2823815	36783	20415	same_chr:-:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Chicken	DSB_041	58171516	GalGal6_chr4	GalGal6_chr4	58171516	58171517	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;inclusive	250000	Flamingo	DSB_042	59982754	chr4	chr4	57263058	53984869	+	+	true	reverse	3278189	very_distant	false	false	true	2842334	2842334	0	0	same_chr:+:+:reverse:very_distant	high
primary;inclusive	250000	Dove	DSB_042	59982754	LR594554.2	LR594554.2	2818443	4661033	-	+	true	forward	1842590	very_distant	false	true	false	1737875	1030220	29644	2565	same_chr:-:+:forward:very_distant	high
primary;inclusive	250000	Sandgrouse	DSB_042	59982754	chr5	chr5	48019938	55653823	-	-	true	forward	7633885	very_distant	false	false	false	1765062	930276	25762	61619	same_chr:-:-:forward:very_distant	high
primary;inclusive	250000	Turaco	DSB_042	59982754	chr5	chr5	77070806	82134632	+	-	true	forward	5063826	very_distant	false	true	false	1760437	1002604	30387	30388	same_chr:+:-:forward:very_distant	high
primary;inclusive	250000	Cuckoo	DSB_042	59982754	CM030640.1	CM030640.1	53931122	50795006	+	+	true	reverse	3136116	very_distant	false	false	true	2823815	2823815	0	0	same_chr:+:+:reverse:very_distant	high
primary;inclusive	250000	Stork	DSB_042	59982754	CM030196.1	CM030196.1	57000515	53765784	+	+	true	reverse	3234731	very_distant	false	false	true	2823815	2823815	0	0	same_chr:+:+:reverse:very_distant	high
primary;inclusive	250000	Chicken	DSB_042	59982754	GalGal6_chr4	GalGal6_chr4	59982754	59982755	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;inclusive	250000	Flamingo	DSB_043	61035423	chr4	chr4	57263058	36586300	+	-	true	reverse	20676758	very_distant	false	true	true	2842334	330565	1159	38055	same_chr:+:-:reverse:very_distant	high
primary;inclusive	250000	Dove	DSB_043	61035423	LR594554.2	LR594554.2	5719307	46374394	+	+	true	forward	40655087	very_distant	false	false	false	1030220	372648	19885	18182	same_chr:+:+:forward:very_distant	high
primary;inclusive	250000	Sandgrouse	DSB_043	61035423	chr15	chr5	18275469	33902842	-	-	false	chromosome_switch		unknown_gap	true	false	false	34841	350438	19910	18182	different_chr:-:-:chromosome_switch:unknown_gap	limited_short_flank_run
primary;inclusive	250000	Turaco	DSB_043	61035423	chr5	chr5	80944051	57479367	-	-	true	reverse	23464684	very_distant	false	false	true	1002604	349462	19678	19158	same_chr:-:-:reverse:very_distant	high
primary;inclusive	250000	Cuckoo	DSB_043	61035423	CM030640.1	CM030640.1	53931122	34786245	+	-	true	reverse	19144877	very_distant	false	true	true	2823815	290728	19678	19678	same_chr:+:-:reverse:very_distant	high
primary;inclusive	250000	Stork	DSB_043	61035423	CM030196.1	CM030196.1	57000515	36496010	+	-	true	reverse	20504505	very_distant	false	true	true	2823815	357739	19678	10881	same_chr:+:-:reverse:very_distant	high
primary;inclusive	250000	Chicken	DSB_043	61035423	GalGal6_chr4	GalGal6_chr4	61035423	61035424	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
